Team,Group,Offense,Defense,Midfield,Rank,Points,Goalkeeper,avg_goals,avg_goalsallowed,avg_shotsontarget,avg_shots,avg_possession,avg_fouls,avg_yellowcards,avg_redcards
Senegal,A,79,76,77,18,1584,86,1.6,1,3.8,9.6,43.6,16.6,1.6,0
Qatar,A,73,71,71,50,1439,70,1.4,1.2,5,14.4,56.2,7.2,1.4,0
Netherlands,A,82,82,83,8,1694,77,1.4,2.2,5.2,14.8,62.6,12.4,0.6,0.2
Ecuador,A,75,75,75,44,1464,74,2.8,1.8,5.4,12.2,53.8,13,2.6,0.2
Iran,B,81,73,72,20,1564,74,1.4,0.4,5,12.6,54.2,15,1,0.2
England,B,86,83,83,5,1728,82,1.4,1,3.2,11.4,58.8,9.8,1.2,0
United States,B,77,78,76,16,1627,77,0.6,2.2,4.2,10.4,46.6,15,2.4,0
Wales,B,78,76,77,19,1569,74,0.8,0.8,2.8,10.8,46,11.4,0.8,0.2
Argentina,C,86,84,82,3,1773,84,1.4,1,6,15,55,15.4,2.6,0
Saudi Arabia,C,71,72,71,51,1437,71,0.8,1.6,3.6,12.8,61.6,9.6,0.4,0
Mexico,C,79,77,77,13,1644,80,0.8,1.4,3.8,14,52.6,13.2,2,0
Poland,C,81,75,75,26,1548,86,1.2,2,2.4,8.8,50.2,12.4,1.2,0
Denmark,D,77,83,80,10,1666,83,2.2,0.6,5,11.8,48,10.8,1,0
Tunisia,D,72,75,71,30,1507,69,1.8,2,2.8,10.6,42,15,1.2,0
France,D,86,82,82,4,1759,87,1.8,0.6,3.6,13.8,51,12.4,2,0
Australia,D,72,72,71,38,1488,78,1,2.4,4,9,46.4,14.8,1.8,0
Germany,E,84,85,82,11,1650,90,1.4,1,5.4,17.2,71.4,10.4,1.4,0.2
Japan,E,75,77,76,24,1559,76,1.4,2.2,5.8,13,53,9.4,1.2,0
Spain,E,83,85,83,7,1715,83,2.4,1.4,5.6,17.8,71.2,11,0.8,0
Costa Rica,E,73,73,74,31,1503,88,1,1.2,3.4,10.4,42.6,15.6,2,0
Morocco,F,79,73,78,22,1563,84,2,0.6,4.6,13,49.2,16,2.2,0
Croatia,F,80,83,78,12,1645,80,1.4,1.8,4.6,17.4,60.2,14.8,2.4,0
Belgium,F,84,81,79,2,1816,90,1.6,0.8,3.6,10,56.8,13.4,1.8,0
Canada,F,75,78,72,41,1475,77,0.2,1.2,2.6,10.6,53.2,13.4,1.8,0.2
Switzerland,G,77,78,78,15,1635,86,1.6,1.2,3.8,13.8,59.6,14.2,2,0.2
Cameroon,G,75,75,72,43,1471,82,0.8,2,2.6,7.4,42.8,15.2,1.6,0.2
Brazil,G,85,85,83,1,1841,89,2.2,0.4,5.4,11.8,63,12.4,1.6,0
Serbia,G,80,80,75,21,1563,78,1.4,1.6,3.2,12.4,47.2,14.4,2.4,0.2
Uruguay,H,81,82,79,14,1638,78,1,1.2,2.2,7.2,48,15,1.8,0.2
South Korea,H,79,74,75,28,1530,70,1,1.6,5.8,12,45,18.4,2.6,0
Portugal,H,83,83,84,9,1676,81,1.8,1.4,3.8,11.8,50.4,14.2,1.4,0
Ghana,H,81,76,75,61,1393,71,1.6,1.4,4.4,13.6,45.6,11,1.8,0
